land_id,name,land_type,current_usage,area_sqft,sunlight_hours,water_access,market_distance_km
LAND001,Green Tower Rooftop,Rooftop,Vacant,5000,8.0,High,3.2
LAND002,East Market Terrace,Rooftop,Underutilized,4200,7.5,Medium,1.8
LAND003,Riverfront Vacant Plot,Plot,Vacant,6500,8.2,High,4.1
LAND004,Sunrise Commercial Roof,Rooftop,Vacant,3800,7.8,Medium,2.5
LAND005,Community Open Plot,Plot,Vacant,7200,8.5,High,5.0
LAND006,Old Warehouse Roof,Rooftop,Underutilized,4500,7.2,Low,3.7
LAND007,Greenfield Vacant Plot,Plot,Vacant,8500,8.7,High,5.4
LAND008,Metro Terrace,Rooftop,Underutilized,3500,6.9,Medium,2.1
LAND009,Lakeside Open Plot,Plot,Vacant,6000,8.3,High,4.6
LAND010,City Mall Rooftop,Rooftop,Underutilized,5500,7.1,Medium,1.5
LAND011,Industrial Vacant Plot,Plot,Vacant,9000,7.9,Low,6.2
LAND012,Sunrise Apartment Roof,Rooftop,Vacant,3000,7.7,High,2.8
LAND013,Community Garden Plot,Plot,Existing Garden,4800,7.6,High,3.0
LAND014,Highway Side Vacant Plot,Plot,Vacant,7600,8.1,Low,6.8
LAND015,Market Warehouse Roof,Rooftop,Underutilized,4000,7.4,Medium,1.2
